qid,nqc
1037798,0.1683435531815811
104861,0.2315984985105709
1063750,0.1781447097652576
1103812,0.1477152550749868
1106007,0.13498117562256357
1110199,0.17540820724930542
1112341,0.17120866958078507
1113437,0.21527019137955367
1114646,0.17306055024996622
1114819,0.15821918627325401
1115776,0.18485948573318733
1117099,0.20082424080237116
1121402,0.1738207012376796
1121709,0.19044215328898295
1124210,0.16509539734786283
1129237,0.16096664144327175
1133167,0.14124412275688844
130510,0.15682645163634826
131843,0.162034402545394
146187,0.16988061689921727
148538,0.16849293193028872
156493,0.17238060556760318
168216,0.24604421934115075
182539,0.18332499782295963
183378,0.16578155126855154
19335,0.1422143546779714
207786,0.1788901851565833
264014,0.15194628108263197
359349,0.21043439208931697
405717,0.16858720057417134
443396,0.22034290475371887
451602,0.20393138368720856
47923,0.22578118572589528
489204,0.17575653669261893
490595,0.1603900988697279
527433,0.1931147662423173
573724,0.16329988916308363
833860,0.10649166149029454
855410,0.20388880373851048
87181,0.16801466232561882
87452,0.16465164386496148
915593,0.18095760488356458
962179,0.15557398926786542
