qid,nqc,mean_score,std_score,num_docs
1037798,0.16660199642755832,14.835329743543285,2.4715955529354483,4890
104861,0.2242581825271014,15.753448811108447,3.5328397989129066,7291
1063750,0.1784456481928027,9.752288765545133,1.7402534901310889,12482
1103812,0.14685970513177563,15.668737702518051,2.3011061987789363,7778
1106007,0.1369499452289227,14.759746709162993,2.021346503412644,8705
1110199,0.17465052863677552,14.427814072442924,2.5198253548252656,5434
1112341,0.16967683880262077,14.84838357565289,2.5194267864455373,4772
1113437,0.2160330963331323,12.324982750157734,2.6626041857690197,5266
1114646,0.17141497415741655,14.031827214975534,2.4052652994363655,7493
1114819,0.15991037011831286,13.71692605017508,2.1934787215690243,8608
1115776,0.18315930628413893,13.94635334496769,2.5544044038577627,6056
1117099,0.1996101240173691,14.435543600229117,2.881480648299873,4225
1121402,0.1743857747529385,13.20744598229636,2.3031907001303358,7052
1121709,0.1890474130445193,13.307146370773037,2.515681596399406,6584
1124210,0.16519939312519114,13.661241079580511,2.2568287356836314,7368
1129237,0.15978672436377875,15.696524373852476,2.5080962135941003,7350
1133167,0.14202183271350555,18.277892611001683,2.5958598067551,3137
130510,0.15620642468916335,13.459981448197837,2.102535578405451,8825
131843,0.16172832430306366,14.567745681097044,2.3560170978770176,8940
146187,0.1695517714609206,10.382546718101159,1.7603791883298188,11665
148538,0.16910872629726179,13.647709498337798,2.3079467701389467,7541
156493,0.17247661963844654,14.862097201770117,2.563364286099325,4771
168216,0.24680119879468684,12.957984347690324,3.1980460709727603,7808
182539,0.18123448393537864,12.389334656623317,2.2453746727958284,7447
183378,0.16664185480967977,15.978206100630853,2.6626379011404664,6168
19335,0.14231635967677567,17.388873766543924,2.4747212133335137,5319
207786,0.17915774698898346,13.50283649494646,2.41913776439523,5905
264014,0.1502425595332725,16.850730709188124,2.5316969117543398,5100
359349,0.21219705483026047,10.897560051187135,2.3124301476978126,9726
405717,0.16867185491831485,12.442968626270721,2.0987785988834786,8255
443396,0.2205944995681871,12.878132669390705,2.840845231576964,7282
451602,0.20085441872819998,11.832600682495356,2.376630132125507,7287
47923,0.22719543830181244,11.630620256772035,2.642423866959261,11381
489204,0.17462593794242842,14.553363836157171,2.541394810106364,7831
490595,0.1601303959241698,13.930779812648485,2.230741286931834,7423
527433,0.19078089381299707,12.260234279011538,2.339018454106567,8016
573724,0.16477416214702945,15.080563544130664,2.484887222689167,5219
833860,0.10792903019003118,17.47343854182175,1.8858912759039341,4808
855410,0.20526153412146203,13.993426932761121,2.872312279835133,8064
87181,0.16789152533793278,13.607730620788711,2.2846226503119116,8516
87452,0.16483194175880608,15.499931246574084,2.554883764500798,6052
915593,0.18179218635490416,11.972513912091276,2.17650948024358,10402
962179,0.15370532861258404,16.604827297694893,2.5522504363473995,5830
