qid,nqc,mean_score,std_score,num_docs
1037798,0.06563391905805382,34.46085856246948,2.261801201560163,1000
104861,0.04406909176282608,52.733331798553465,2.323910037990007,1000
1063750,0.05181666738364599,37.15980835723877,1.9254974296870695,1000
1103812,0.06932687539262068,40.912250297546386,2.836318478409707,1000
1106007,0.11389018122724713,45.54523180389404,5.187154704182472,1000
1110199,0.05317363684670776,46.289366619110105,2.4613739704686775,1000
1112341,0.061613516188022695,33.59034230613708,2.0696190994404007,1000
1113437,0.07173076489796966,52.5234522895813,3.767547407813683,1000
1114646,0.10267569837038684,44.74068955612183,4.593781545747482,1000
1114819,0.15225009041728607,41.4285581741333,6.307501727869591,1000
1115776,0.07279436180794116,40.927191814422606,2.9792688087220873,1000
1117099,0.09407327940929235,43.396787792205814,4.082478143441945,1000
1121402,0.11947257093118215,37.96076078796387,4.5352696858416515,1000
1121709,0.0633669560843687,30.83627293395996,1.954000752811848,1000
1124210,0.1113021729291537,44.752173946380616,4.981014203535622,1000
1129237,0.054948617190172716,44.34877179718018,2.4369036843375818,1000
1133167,0.089503421558512,51.96816869354248,4.651328910201999,1000
130510,0.10011579999603566,43.56893187332153,4.361938469470362,1000
131843,0.10317717616367492,40.1916297416687,4.146858862161348,1000
146187,0.09955002084917013,38.59082234573364,3.8417171691044043,1000
148538,0.0657011737017752,48.960003921508786,3.2167297220866433,1000
156493,0.09139625234925015,45.56373627090454,4.164354738190274,1000
168216,0.12356540877676585,50.89421990203857,6.288765086570008,1000
182539,0.09289705321998014,39.099079528808595,3.6321892718399678,1000
183378,0.1121009148496587,48.027318420410154,5.383906332703844,1000
19335,0.05437346717542214,45.24298533248901,2.4600179778941964,1000
207786,0.08128620889487752,41.79483612823486,3.397343780246873,1000
264014,0.09999932908837049,44.0166967086792,4.401640139554205,1000
359349,0.1301918529384349,45.59773078155518,5.936453060238579,1000
405717,0.1470809733680813,43.978624130249024,6.468418844466013,1000
443396,0.07949250260907213,36.982048084259034,2.939795553826792,1000
451602,0.08142902488226748,43.36759861755371,3.53138126691297,1000
47923,0.08185283220661323,49.27141574478149,4.03300492553988,1000
489204,0.052835838667651326,46.64952302551269,2.4647666724988744,1000
490595,0.11972064689072978,41.41514640808106,4.958248119049748,1000
527433,0.09939078965254879,41.23179803085327,4.098060965080912,1000
573724,0.11239359974413635,41.46685820388794,4.660609463614637,1000
833860,0.07005068902018535,45.790387218475345,3.2076481751552866,1000
855410,0.05225993807058041,36.618742557525636,1.9136932182788169,1000
87181,0.10768093653517302,49.57330364227295,5.338099763342455,1000
87452,0.05894653641098471,45.93768510055542,2.70786742741624,1000
915593,0.15257416835847462,41.36678496170044,6.3115028131952995,1000
962179,0.08917925069246238,41.74654430007934,3.7229255396807623,1000
