qid,b_preference_ratio,nqc,wig,uef,smv,dense_qpp
104861,0.7125,0.2315984985105709,40.27997341156006,7.093672768315087,0.21996229345523402,0.9250164051069604
130510,0.7142857142857143,0.15682645163634826,43.14551753997802,0.0,0.4819103058667913,0.9410516712465968
131843,0.9615384615384616,0.162034402545394,40.073800659179696,0.0,0.5548949852021754,0.9073639907691938
146187,0.2285714285714285,0.16988061689921727,38.66678066253662,0.0,0.38816122182765006,0.9305533913588022
148538,0.7333333333333333,0.16849293193028872,36.05545787811279,0.0,0.3773044297171637,0.9621484320359666
156493,0.5277777777777778,0.17238060556760318,33.834964752197266,18.225712020069267,0.09952857680189883,0.9513946887526687
1037798,0.9302325581395348,0.1683435531815811,23.87340965270996,5.104251484073176,0.24678870305224002,0.901254046747024
1063750,0.2307692307692307,0.1781447097652576,29.981623077392577,10.017462406338582,0.11345971577544839,0.8891432919179006
1103812,0.3333333333333333,0.1477152550749868,33.93540096282959,3.2464336049611875,0.27349659774118557,0.9079758494001724
1106007,0.5714285714285714,0.13498117562256357,37.76787452697754,6.1062772056204775,0.24454307492269067,0.956465417156062
1110199,0.6296296296296297,0.17540820724930542,34.37158603668213,9.134777256616768,0.19582470053953216,0.9481716106005336
1112341,0.1071428571428571,0.17120866958078507,19.92466793060303,0.0,0.34822882542809164,0.9229918667401013
1113437,0.5643564356435643,0.21527019137955367,49.04948139190674,11.183596430366071,0.14969214146786722,0.950140383053035
1114646,0.5686274509803921,0.17306055024996622,45.46129512786865,0.0,0.33062941013305197,0.8829506372661287
1114819,0.5,0.15821918627325401,39.10272483825683,8.809123876412787,0.2072671758471313,0.9601712211089368
1115776,0.3529411764705882,0.18485948573318733,34.192080116271974,0.0,0.42683326009679085,0.9123104368521572
1117099,0.4912280701754385,0.20082424080237116,37.306464195251465,0.0,0.3488517710874725,0.9127954297764024
1124210,0.5131578947368421,0.16509539734786283,44.17410049438477,5.257114922966202,0.2439200917678677,0.931999255483391
1129237,0.525,0.16096664144327175,30.138268089294435,5.382543506742776,0.2519289280945381,0.9205718497538634
1133167,0.4757281553398058,0.14124412275688844,40.86655063629151,24.247614671230398,0.04054913869610507,0.966397039590512
19335,0.6181818181818182,0.1422143546779714,28.726927947998043,18.82085526492834,0.08836780744353828,0.95072617321917
47923,0.4375,0.22578118572589528,39.41488552093506,6.397921413624467,0.23144319249565093,0.9325775894570768
87181,0.4367816091954023,0.16801466232561882,41.878722953796384,6.774903951661954,0.23279450885232844,0.9420249582990584
87452,0.3333333333333333,0.16465164386496148,34.79707851409912,4.5526918725332575,0.25558091386186976,0.9265400476538046
168216,0.4605263157894737,0.24604421934115075,47.63621940612792,12.847623457334098,0.16024501760571966,0.9572270492192888
182539,0.5,0.18332499782295963,35.566578483581544,2.7640968739011815,0.2808221027625209,0.917721937319836
183378,0.4946236559139785,0.16578155126855154,45.21511821746826,3.284273577176127,0.27583751616043345,0.9189611918208828
207786,0.5,0.1788901851565833,33.53819618225098,5.893907489896673,0.24058430996147745,0.9299445900870938
264014,0.4716981132075472,0.15194628108263197,32.899106407165526,20.20391974548884,0.08180898638099673,0.953431496026496
359349,0.3818181818181818,0.21043439208931697,48.30214366912841,4.170736380207499,0.2630446684545738,0.8999933632731031
405717,0.9047619047619048,0.16858720057417134,44.733833122253415,8.658748138555572,0.20540285381924797,0.9399409228334856
443396,0.8064516129032258,0.22034290475371887,29.73026180267334,0.0,0.3299587131918067,0.8971879117190064
451602,0.392156862745098,0.20393138368720856,36.07510108947754,13.482947046029281,0.1261919303811464,0.9302684393972735
489204,0.3972602739726027,0.17575653669261893,31.95235118865967,12.063624559062674,0.14979997536404915,0.9359538124410458
490595,0.5287356321839081,0.1603900988697279,42.597972488403315,17.56122242186538,0.08690612750853254,0.948122837366133
527433,0.4545454545454545,0.1931147662423173,36.233334350585935,0.0,0.5978965378091031,0.9336777492124598
573724,0.5073529411764706,0.16329988916308363,34.1576639175415,21.13488240837238,0.08051143095868675,0.9495294321234172
833860,0.5555555555555556,0.10649166149029454,37.1068037033081,11.593924091897506,0.17585082818579117,0.9399128452342944
915593,0.4137931034482758,0.18095760488356458,36.52467060089111,0.0,0.4281851561543197,0.9527693833827136
962179,0.328125,0.15557398926786542,38.84975967407226,3.2435801374690896,0.27762271323665866,0.9205772395323896
