QPP_Method,Strategy,Threshold,F1_Score,Accuracy,Precision,Recall,AUC_ROC,N_Samples,Benefit_Mean,Benefit_Std,Hurt_Mean,Hurt_Std,Mean_Diff
SMV,越低越好,0.8240506151985773,0.6829268292682927,0.6060606060606061,0.56,0.875,0.5955882352941175,33,0.6513275117199095,0.28215375583461244,0.7115161416916911,0.24517253422324167,-0.06018862997178154
WIG,越低越好,36.952802333831784,0.6818181818181818,0.5757575757575758,0.5357142857142857,0.9375,0.5404411764705883,33,30.078439885377886,4.767084925759493,31.16781721956589,6.450773649508026,-1.0893773341880042
NQC,越低越好,0.1729064832992429,0.6666666666666666,0.6363636363636364,0.6,0.75,0.6176470588235294,33,0.16930360518000623,0.030365338815974204,0.18003726979962642,0.028539461783893272,-0.010733664619620192
UEF,越高越好,0.0,0.6530612244897959,0.48484848484848486,0.48484848484848486,1.0,0.5,33,0.0,0.0,0.0,0.0,0.0
DENSE_QPP,越高越好,0.9383292321169949,0.6451612903225806,0.6666666666666666,0.6666666666666666,0.625,0.5404411764705882,33,0.9326512389287577,0.023993065795210565,0.9302595884561387,0.02069195629929346,0.0023916504726190224
