QPP_Method,N_Samples,Kendall_Tau,Tau_P_Value,Tau_Sig,Spearman_Rho,Rho_P_Value,Rho_Sig,Pearson_R,R_P_Value,R_Sig,Strength,Direction
NQC,40,-0.09254529293834245,0.40139057161741365,,-0.1393384978519294,0.39116655782256793,,-0.014298757390134493,0.9302184271145155,,Negligible,Negative
WIG,40,0.08483318519348058,0.441767490718862,,0.11710063657859118,0.4717674772085396,,0.13241032941056652,0.41537189899763466,,Negligible,Positive
UEF,40,0.049328948732752904,0.6627415629167923,,0.06760246834839162,0.6785281000350104,,-0.015099276425887428,0.9263220853758074,,Negligible,Positive
SMV,40,-0.033419133561068105,0.7618724145480815,,-0.06042693105497813,0.711089289185481,,0.11477418996834654,0.4806774721669521,,Negligible,Negative
DENSE_QPP,40,0.12596442649941056,0.25338618291410375,,0.1536007548711168,0.3440041064792768,,0.033042784472522,0.8395967720606917,,Weak,Positive
