query_id,dcg_score,mrr_score,majority_at_k_score
19335,0.5604164463078529,0.6236506583267253,0.5333333333333333
47923,0.3539292852421503,0.23797979797979796,0.0
87181,0.5126998472062467,0.5250263543405838,0.6666666666666666
87452,0.4697096678567907,0.4435154176315724,0.5
104861,0.45568550077856906,0.4132466891882268,0.55
130510,0.602003068495967,0.7036989366326096,1.0
131843,0.5748131835670726,0.6458910278129467,1.0
146187,0.42526095485408344,0.3332620710903752,0.0
148538,0.453716929650729,0.4399336746426762,0.5
156493,0.46771063082443404,0.44761904761904764,0.4
168216,0.3353511102999416,0.22027020202470968,0.13333333333333333
182539,0.5164579687648442,0.5327068849126526,0.4333333333333333
183378,0.49743091061771255,0.49207088088456563,0.5999999999999999
207786,0.4633954892683783,0.41745476194064796,0.5
264014,0.48000677853420354,0.46546058336723356,0.4933333333333333
359349,0.4524565956521691,0.42045901639344263,0.5
405717,0.6074779476097669,0.7105313972042181,1.0
443396,0.564390573676119,0.6164906445249527,0.7333333333333332
451602,0.38917957199489794,0.28486260864338553,0.13333333333333333
489204,0.4474830166518279,0.40313882591024575,0.31666666666666665
490595,0.5168766399451468,0.5241578534592953,0.6
527433,0.5554152623033042,0.6163056885240488,0.4666666666666666
573724,0.4682272113841819,0.44613735082712525,0.33999999999999997
833860,0.5557237007566865,0.59858500724847,0.6333333333333332
855410,0.5307900916393951,0.5663759797098858,0.7
915593,0.4228554769470024,0.34151461236763414,0.1
962179,0.4497337457862417,0.3859541925202433,0.1
1037798,0.570425700905097,0.6546355767359985,1.0
1063750,0.4106965321537583,0.3204554844817386,0.26666666666666666
1103812,0.31,0.195,0.0
1106007,0.6117518106688332,0.7060394228620815,0.8333333333333334
1110199,0.6506172741763457,0.7660065511049545,0.8
1112341,0.33078512527147486,0.20221920247561967,0.0
1113437,0.42857570237024234,0.3829072806552476,0.27999999999999997
1114646,0.5746336437971585,0.6538946645128627,0.8
1114819,0.37396633658943834,0.29715660366581126,0.3666666666666666
1115776,0.5070674179601895,0.516725530323931,0.5
1117099,0.5483028905929144,0.5976173748713421,0.7666666666666666
1121402,,,
1121709,0.5363596948239497,0.5777233877233877,0.9
1124210,0.4358648707105733,0.393183844639822,0.42000000000000004
1129237,0.6876780699124362,0.8044540699575025,0.7333333333333332
1133167,0.5046366452722287,0.5098874205574987,0.5666666666666667
