query_id,dcg_score,mrr_score,majority_at_k_score
19335,0.4022203630289875,0.3172690763052208,0.5
47923,0.4696709804438596,0.4285714285714286,
87181,0.5814207141268457,0.6766486142083467,1.0
87452,0.5283930902505506,0.5617977528089887,0.5
104861,0.3898728096930814,0.2910011686793923,0.5
130510,0.615563331057436,0.7384615384615385,1.0
131843,0.546546529670947,0.608294930875576,1.0
146187,0.45951549433645,0.4037854889589905,0.0
148538,0.4689777380598984,0.4279346210995542,0.5
156493,0.5372435736804816,0.5714285714285715,0.5
168216,0.4949030693461728,0.4968944099378882,0.3333333333333333
182539,0.5372056731092538,0.5758354755784061,0.6666666666666666
183378,0.4971513739577484,0.5026455026455027,0.25
207786,0.4908564547952067,0.4722324383964693,0.5
264014,0.4744266250924546,0.4444444444444444,0.5
359349,0.5448440264199164,0.5844155844155845,0.5
405717,0.6326235400505084,0.7605633802816901,1.0
443396,0.4955201175913144,0.4868035190615835,0.6666666666666666
451602,0.3475292791591713,0.220810647307925,0.0
489204,0.4724827325422338,0.4380231167795934,0.5
490595,0.5647115401585947,0.6252285191956124,0.75
527433,0.4967692404436833,0.4909090909090908,
573724,0.4718554638207712,0.4380559774354524,0.5
833860,0.4767713419963752,0.4444444444444445,0.5
855410,0.5575352867996559,0.6268656716417911,1.0
915593,0.4911495580093388,0.4776119402985074,0.5
962179,0.4583021593027488,0.4027215888194189,0.0
1037798,0.5527199243085034,0.6193702670386608,1.0
1063750,0.4124003983749793,0.3151079136690647,0.0
1103812,0.3868528072345416,0.2727272727272727,0.0
1106007,0.5338618488296235,0.577861163227017,1.0
1110199,0.5933930532037794,0.6912053947738128,0.6666666666666666
1112341,0.3083099088972433,0.1713004484304933,0.0
1113437,0.6195624482915097,0.7113821138211383,0.5
1114646,0.6227722050707352,0.7477744807121661,1.0
1114819,0.5804226235046099,0.6493506493506493,0.5
1115776,0.4802877948668234,0.4521739130434782,0.0
1117099,0.5535503386200996,0.6,0.6666666666666666
1121402,,,
1121709,0.5372435736804816,0.5714285714285715,0.5
1124210,0.4250541937951182,0.3680078508341511,0.4
1129237,0.6062348925818629,0.7078651685393258,1.0
1133167,0.5496007558523377,0.6094230112666439,0.6666666666666666
