query_id,dcg_score,mrr_score,majority_at_k_score
19335,0.5088475899060216,0.5238095238095238,0.5
47923,0.3333333333333333,0.2,0.0
87181,0.5701760246179909,0.6458616010854817,0.6666666666666666
87452,0.4960326223781255,0.4870349492671928,0.5
104861,0.5056342769005477,0.5017793594306049,0.75
130510,0.546546529670947,0.608294930875576,1.0
131843,0.546546529670947,0.608294930875576,1.0
146187,0.4699717285340226,0.42586750788643535,0.0
148538,0.4214962433595079,0.33121019108280253,0.0
156493,0.5943161289177871,0.6666666666666666,0.5
168216,0.5250159082209249,0.5555555555555556,0.5
182539,0.550646621537743,0.6067415730337079,0.5
183378,0.5685591276420343,0.644883920894239,0.6666666666666666
207786,0.48270808838665874,0.4556822361162193,0.5
264014,0.618207581881764,0.7058823529411765,0.6
359349,0.47239845161502847,0.4405594405594406,0.5
405717,0.546546529670947,0.608294930875576,1.0
443396,0.6012520570100892,0.6983883346124329,0.75
451602,0.5072673506370596,0.5231143552311436,0.3333333333333333
489204,0.5344107092490937,0.5819295558958653,0.5
490595,0.5368794891003139,0.5758683729433273,0.5
527433,0.5607066655395243,0.6382978723404256,1.0
573724,0.6180513160261831,0.7250755287009063,0.5
833860,0.6805134710411278,0.8108108108108109,1.0
855410,0.5543449343710103,0.6183206106870228,1.0
915593,0.4510283503110881,0.3932584269662921,0.0
962179,0.47326336215874637,0.4364288561179753,0.0
1037798,0.5988294158008084,0.7075038284839205,1.0
1063750,0.4196978840326488,0.33127282944647374,0.3333333333333333
1103812,0.3456871240434053,0.22222222222222224,0.0
1106007,0.5537078703297135,0.6201550387596899,1.0
1110199,0.5336007702374211,0.5777844132576888,0.3333333333333333
1112341,0.32884519603961143,0.20673076923076927,0.25
1113437,0.3708826614307696,0.27439024390243905,0.25
1114646,0.6100004628782927,0.7313769751693001,1.0
1114819,0.5804226235046099,0.6493506493506493,0.5
1115776,0.47896370210166334,0.4527363184079602,0.5
1117099,0.4304798613940272,0.36000000000000004,0.5
1121402,,,
1121709,0.5623818557528476,0.6428571428571429,1.0
1124210,0.38515838823216153,0.2993130520117762,0.4
1129237,0.5973747860716655,0.6603773584905661,0.6666666666666666
1133167,0.5855923642671658,0.677618069815195,0.6666666666666666
