query_id,dcg_score,mrr_score,majority_at_k_score
19335,0.3769665430287959,0.2831541218637992,0.5
47923,0.3333333333333333,0.2,0.0
87181,0.583038529073188,0.6675712347354138,0.6666666666666666
87452,0.5210362978983366,0.5472636815920398,0.5
104861,0.6006803277839596,0.6873315363881403,0.5
130510,0.615563331057436,0.7384615384615385,1.0
131843,0.546546529670947,0.608294930875576,1.0
146187,0.4375437906829098,0.3565459610027855,0.0
148538,0.4466837415857713,0.3859649122807018,0.5
156493,0.6989700043360187,0.8,0.5
168216,0.4155464078569215,0.3552631578947368,0.5
182539,0.5639727175208297,0.626865671641791,0.6666666666666666
183378,0.550697140826591,0.6087704213241616,0.6666666666666666
207786,0.5015339809905163,0.5061777600637704,0.5
264014,0.618207581881764,0.7058823529411765,0.6
359349,0.600550246202463,0.6818181818181819,0.3333333333333333
405717,0.6015342189706339,0.7118644067796609,1.0
443396,0.5385642122131328,0.5814106789716545,0.6666666666666666
451602,0.4823252149268348,0.4594330400782013,0.3333333333333333
489204,0.5091435452047934,0.5277675616035307,0.5
490595,0.5368794891003139,0.5758683729433273,0.5
527433,0.5813852038511783,0.6792452830188679,1.0
573724,0.6143568817584705,0.7109852437024892,0.6
833860,0.4143445927445638,0.3414634146341463,0.6666666666666666
855410,0.5543449343710103,0.6183206106870228,1.0
915593,0.4510283503110881,0.3932584269662921,0.0
962179,0.4664658858557446,0.4224790753288162,0.0
1037798,0.5988294158008084,0.7075038284839205,1.0
1063750,0.4196978840326488,0.3312728294464737,0.3333333333333333
1103812,0.3230075074711544,0.1818181818181818,0.0
1106007,0.568906389761493,0.6511627906976745,1.0
1110199,0.6088242974041265,0.7129798903107861,0.75
1112341,0.3356048955496178,0.2174796747967479,0.25
1113437,0.5407153339336951,0.5782312925170068,0.4
1114646,0.6227722050707352,0.7477744807121661,1.0
1114819,0.5804226235046099,0.6493506493506493,0.5
1115776,0.4911495580093388,0.4776119402985074,0.5
1117099,0.3726125522486414,0.2592592592592592,0.0
1121402,,,
1121709,0.5268025545616606,0.5555555555555556,0.5
1124210,0.3851583882321615,0.2993130520117762,0.4
1129237,0.6936832665871149,0.813953488372093,0.6666666666666666
1133167,0.5958644177212414,0.6663217796171754,0.75
