query_id,dcg_score,mrr_score,majority_at_k_score
19335,0.5826982191622976,0.6668773840345408,0.7
47923,0.33435009885910183,0.20909090909090908,0.0
87181,0.589391520467917,0.6793680614982456,0.7333333333333332
87452,0.5111382944613119,0.5206131784670103,0.375
104861,0.4565668452999686,0.41039710750293834,0.5
130510,0.574462792342818,0.6525297659309669,1.0
131843,0.5451285279932943,0.6047945124753968,1.0
146187,0.4895144605405216,0.46919095684242473,0.2
148538,0.38760819175500777,0.2807226414098853,0.1
156493,0.43256386689314474,0.395,0.3
168216,0.3459700493913437,0.22788751944944258,0.0
182539,0.5129812094848246,0.5259215187328005,0.5333333333333333
183378,0.5196100234828942,0.5303609638154405,0.5999999999999999
207786,0.5424886311149563,0.5947861174818693,0.7
264014,0.5148884835538807,0.5293309048623476,0.5833333333333333
359349,0.5600086608614513,0.6005279965935704,0.5999999999999999
405717,0.608174609588694,0.7112736315036222,0.9
443396,0.5210818364817144,0.5419354838709677,0.6666666666666666
451602,0.4059009622370094,0.3155687482143278,0.16666666666666666
489204,0.5233648203888202,0.546970943938713,0.7
490595,0.46731634531438004,0.4425925141298349,0.38999999999999996
527433,0.45860374821467254,0.41093572662885824,0.3
573724,0.461273802298454,0.43051775365858547,0.36
833860,0.6131386190780235,0.7120078891669538,0.7333333333333333
855410,0.5461410028987737,0.6004983301610741,1.0
915593,0.4292753215686737,0.3510785039210329,0.1
962179,0.4264072327285778,0.34183064113444883,0.0
1037798,0.5939602574722624,0.6948363551829795,1.0
1063750,0.42782724721698295,0.34418722052296014,0.2333333333333333
1103812,0.36807445622714996,0.2490909090909091,0.0
1106007,0.5608447254197342,0.6176198041664461,0.7666666666666666
1110199,0.6509519206000853,0.7764900623927283,0.8666666666666666
1112341,0.3204745700581043,0.1880544612300157,0.0
1113437,0.5888729685600317,0.6598625892050981,0.62
1114646,0.6558343309906902,0.770093427159893,0.8333333333333333
1114819,0.32662191875590973,0.21759232509990856,0.3333333333333333
1115776,0.5006657860670842,0.5028732978182897,0.5
1117099,0.4175142170541787,0.35329518558907874,0.36666666666666664
1121402,,,
1121709,0.5696518118921221,0.6485714285714286,1.0
1124210,0.5156667439755536,0.5328913061838747,0.44000000000000006
1129237,0.6596174993093925,0.7654082480232145,0.7999999999999999
1133167,0.5957458499086379,0.6824981380864605,0.6333333333333332
