query_id,dcg_score,mrr_score,majority_at_k_score
19335,0.5281473082025616,0.567458019687319,0.3333333333333333
47923,0.38685280723454163,0.27272727272727276,0.0
87181,0.5935229038694951,0.6949640287769784,1.0
87452,0.5392025807725438,0.5806451612903225,0.5
104861,0.5441207779488018,0.5871886120996442,0.5
130510,0.6087800040121122,0.7241379310344828,1.0
131843,0.546546529670947,0.608294930875576,1.0
146187,0.4853799850529684,0.4626456477039068,0.0
148538,0.44246471320034414,0.3731343283582089,0.0
156493,0.5372435736804816,0.5714285714285715,0.5
168216,0.55638732188594,0.625,0.5
182539,0.550646621537743,0.6067415730337079,0.5
183378,0.49715137395774844,0.5026455026455027,0.25
207786,0.4722771627364689,0.43361529974255236,0.5
264014,0.4946312230285684,0.4936461388074291,0.3333333333333333
359349,0.6557458605901658,0.75,0.6666666666666666
405717,0.5946734052020803,0.6982758620689655,1.0
443396,0.5053687769714317,0.5063538611925709,0.6666666666666666
451602,0.4014101994889448,0.3051168667087808,0.6666666666666666
489204,0.6364625243246799,0.7522750252780586,0.6666666666666666
490595,0.5528193124079938,0.6031746031746031,0.75
527433,0.41957737649539006,0.3506493506493507,0.5
573724,0.507650537995389,0.5215881970058581,0.5
833860,0.4910814877572567,0.47619047619047616,0.5
855410,0.5424628101446487,0.5924764890282133,1.0
915593,0.4575371898553512,0.40752351097178685,0.0
962179,0.5186101394181696,0.5436920483281821,0.3333333333333333
1037798,0.5810858340592405,0.6739501536360533,1.0
1063750,0.4292746473420612,0.35943060498220647,0.5
1103812,0.3333333333333333,0.2,0.0
1106007,0.5690334646969768,0.6464646464646465,1.0
1110199,0.5816399188844168,0.6718423409973127,0.6666666666666666
1112341,0.3506811339837493,0.24435721295387636,0.4
1113437,0.5208453130296131,0.5440956651718984,0.5
1114646,0.6087800040121122,0.7241379310344828,1.0
1114819,0.5223525353672042,0.5454545454545455,0.5
1115776,0.3120010014274027,0.17647058823529413,0.0
1117099,0.537563035511057,0.5857988165680472,1.0
1121402,,,
1121709,0.5371566952531242,0.5833333333333334,1.0
1124210,0.4290337866138163,0.3741496598639456,0.4
1129237,0.4547114937959509,0.41666666666666663,0.6666666666666666
1133167,0.5861518558522604,0.6785613936499016,0.6666666666666666
