method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp
ZeroShot-bart-large-mnli,classifier-1a,benefit_prob,0.2143,0.8333,0.5,0.5536,0.1071,0.6611,-0.145,0.4798,26,14,12,2026-03-23T21:23:25.221710+00:00
ZeroShot-DeBERTa-v3-base-mnli-fever-anli,classifier-1a,benefit_prob,0.6429,0.0,0.3462,0.3631,-0.2738,0.2533,-0.1857,0.3638,26,14,12,2026-03-23T21:23:28.116362+00:00
Emb-emb_norm,classifier-1a,emb_norm,0.5,0.6667,0.5769,0.5833,0.3333,0.4619,0.0571,0.7817,26,14,12,2026-03-23T21:23:31.206126+00:00
Emb-term_sim_mean,classifier-1a,term_sim_mean,1.0,0.3333,0.6923,0.7738,0.5476,0.0154,0.6049,0.0011,26,14,12,2026-03-23T21:23:31.804143+00:00
Emb-term_sim_std,classifier-1a,term_sim_std,0.1429,0.25,0.1923,0.3155,-0.369,0.1218,-0.1463,0.4756,26,14,12,2026-03-23T21:23:32.404066+00:00
Emb-n_terms,classifier-1a,n_terms,0.6429,0.8333,0.7308,0.8214,0.75,0.0032,0.57,0.0024,26,14,12,2026-03-23T21:23:33.017464+00:00
Emb-BGE-emb_norm,classifier-1a,emb_norm,0.4286,0.9167,0.6538,0.6726,0.7838,0.0834,0.3238,0.1066,26,14,12,2026-03-23T21:23:36.598874+00:00
Emb-BGE-term_sim_mean,classifier-1a,term_sim_mean,1.0,0.3333,0.6923,0.7321,0.4643,0.0454,0.3806,0.0551,26,14,12,2026-03-23T21:23:37.192166+00:00
Emb-BGE-term_sim_std,classifier-1a,term_sim_std,0.2143,0.25,0.2308,0.2679,-0.4643,0.0442,-0.2633,0.1937,26,14,12,2026-03-23T21:23:37.780312+00:00
Emb-GTE-emb_norm,classifier-1a,emb_norm,0.3571,0.6667,0.5,0.5119,0.0526,1.0,-0.0054,0.9791,26,14,12,2026-03-23T21:23:41.510256+00:00
Emb-GTE-term_sim_mean,classifier-1a,term_sim_mean,1.0,0.25,0.6538,0.7976,0.5952,0.0066,0.5591,0.003,26,14,12,2026-03-23T21:23:42.105988+00:00
Emb-GTE-term_sim_std,classifier-1a,term_sim_std,0.1429,0.1667,0.1538,0.131,-0.7381,0.001,-0.4185,0.0333,26,14,12,2026-03-23T21:23:42.690551+00:00
Emb-ColBERT-emb_norm,classifier-1a,emb_norm,0.2857,0.6667,0.4615,0.631,0.2619,0.2685,0.2684,0.1849,26,14,12,2026-03-23T21:23:44.231828+00:00
Emb-ColBERT-term_sim_mean,classifier-1a,term_sim_mean,0.1429,0.4167,0.2692,0.3452,-0.3095,0.192,-0.4394,0.0247,26,14,12,2026-03-23T21:23:44.801739+00:00
Emb-ColBERT-term_sim_std,classifier-1a,term_sim_std,0.7857,0.1667,0.5,0.6012,0.2024,0.3973,0.1655,0.4191,26,14,12,2026-03-23T21:23:45.402100+00:00
NER-n_entities,classifier-1a,n_entities,0.7143,0.3333,0.5385,0.5238,0.1111,1.0,0.1445,0.4814,26,14,12,2026-03-23T21:23:47.007172+00:00
NER-entity_ratio,classifier-1a,entity_ratio,0.8571,0.25,0.5769,0.5476,0.186,0.6347,0.2247,0.2699,26,14,12,2026-03-23T21:23:47.603000+00:00
NER-trf-n_entities,classifier-1a,n_entities,0.9286,0.1667,0.5769,0.4792,-0.0693,0.8216,-0.0895,0.6638,26,14,12,2026-03-23T21:23:51.137457+00:00
NER-trf-entity_ratio,classifier-1a,entity_ratio,0.8571,0.3333,0.6154,0.5298,0.0847,0.7904,0.0374,0.856,26,14,12,2026-03-23T21:23:51.726961+00:00
