method_name,n_queries,n_benefit,n_hurt,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,h
1a-NER-ratio,26,12,14,0.8571,0.3333,0.6154,0.5476,0.186,0.6347,0.2247,0.2699,0.061
1b-Qwen3-14B-cot,26,12,14,0.0,1.0,0.4615,0.5,0.0,1.0,,,0.061
1b-Qwen3-14B-direct,26,12,14,0.0,1.0,0.4615,0.5,0.0,1.0,,,0.061
1b-Qwen3-14B-expert,26,12,14,0.0,1.0,0.4615,0.5,0.0,1.0,,,0.061
1b-Qwen3-14B-Think-cot,26,12,14,0.0,1.0,0.4615,0.5,0.0,1.0,,,0.061
1b-Qwen3-14B-Think-direct,26,12,14,0.0,1.0,0.4615,0.5,0.0,1.0,,,0.061
1b-Qwen3-14B-Think-expert,26,12,14,0.0,1.0,0.4615,0.5,0.0,1.0,,,0.061
1b-Qwen3-8B-cot,26,12,14,0.0,1.0,0.4615,0.4613,-0.1884,0.6777,-0.1163,0.5717,0.061
1b-Qwen3-8B-direct,26,12,14,0.0,1.0,0.4615,0.3155,-0.5439,0.0992,-0.4285,0.029,0.061
1b-Qwen3-8B-expert,26,12,14,0.0,1.0,0.4615,0.4256,-0.2475,0.5047,-0.0846,0.681,0.061
1b-R1-14B-cot,26,12,14,0.0,1.0,0.4615,0.3155,-0.5636,0.0702,-0.245,0.2276,0.061
1b-R1-14B-direct,26,12,14,0.0,1.0,0.4615,0.5,0.0,1.0,,,0.061
1b-R1-14B-expert,26,12,14,0.2143,1.0,0.5769,0.4107,-0.2542,0.4309,-0.0397,0.8474,0.061
1b-R1-7B-cot,26,12,14,0.0,1.0,0.4615,0.4554,-0.4054,0.5709,-0.1239,0.5465,0.061
1b-R1-7B-direct,26,12,14,0.2143,0.8333,0.5,0.4673,-0.0791,0.7646,-0.0825,0.6888,0.061
1b-R1-7B-expert,26,12,14,0.0,1.0,0.4615,0.4048,-0.64,0.2086,-0.194,0.3424,0.061
