method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,h_label,h_pred
SC-Pairwise-Llama-70B-MRR,posthoc-sc,SC Llama-3.3-70B pairwise MRR,0.7143,0.8462,0.7778,0.8132,0.4214,0.006,0.4246,0.0057,27,14,13,2026-03-10T13:44:50.913012+00:00,0.05,0.0
SC-Pairwise-Llama-70B-Majority@k,posthoc-sc,SC Llama-3.3-70B pairwise Majority@k,0.6429,0.6923,0.6667,0.794,0.5399,0.003,0.4754,0.0017,27,14,13,2026-03-10T13:44:51.194575+00:00,0.05,0.0
Pairwise-Mistral-24B-DCG,posthoc,pairwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.1429,0.7692,0.4444,0.456,-0.075,0.6374,0.0136,0.9327,27,14,13,2026-03-10T13:44:51.547264+00:00,0.05,0.0
Pairwise-Mistral-24B-MRR,posthoc,pairwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.1429,0.7692,0.4444,0.4808,-0.0495,0.7532,0.0359,0.8234,27,14,13,2026-03-10T13:44:51.839595+00:00,0.05,0.0
Pairwise-Mistral-24B-Majority@k,posthoc,pairwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.0714,0.5385,0.2963,0.4505,-0.1058,0.6184,-0.0115,0.9432,27,14,13,2026-03-10T13:44:52.164442+00:00,0.05,0.0
Setwise-Mistral-24B-DCG,posthoc,setwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.8571,0.7692,0.8148,0.8352,0.4429,0.003,0.4883,0.0012,27,14,13,2026-03-10T13:44:52.477450+00:00,0.05,0.0
Setwise-Mistral-24B-MRR,posthoc,setwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.8571,0.7692,0.8148,0.8297,0.4464,0.003,0.4941,0.001,27,14,13,2026-03-10T13:44:52.785741+00:00,0.05,0.0
Setwise-Mistral-24B-Majority@k,posthoc,setwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.7857,0.6923,0.7407,0.8709,0.6545,0.001,0.5803,0.0001,27,14,13,2026-03-10T13:44:53.100819+00:00,0.05,0.0
SC-Pairwise-Mistral-24B-DCG,posthoc-sc,SC pairwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.1429,0.7692,0.4444,0.456,-0.075,0.6374,0.0136,0.9327,27,14,13,2026-03-10T13:44:53.393149+00:00,0.05,0.0
SC-Pairwise-Mistral-24B-MRR,posthoc-sc,SC pairwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.1429,0.7692,0.4444,0.4808,-0.0495,0.7532,0.0359,0.8234,27,14,13,2026-03-10T13:44:53.692318+00:00,0.05,0.0
SC-Pairwise-Mistral-24B-Majority@k,posthoc-sc,SC pairwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.0714,0.5385,0.2963,0.4505,-0.1058,0.6184,-0.0115,0.9432,27,14,13,2026-03-10T13:44:54.023048+00:00,0.05,0.0
SC-Setwise-Mistral-24B-DCG,posthoc-sc,SC setwise Mistral-Small-3.1-24B-Instruct-2503 DCG,0.7857,0.7692,0.7778,0.8626,0.5143,0.001,0.5324,0.0003,27,14,13,2026-03-10T13:44:54.367137+00:00,0.05,0.0
SC-Setwise-Mistral-24B-MRR,posthoc-sc,SC setwise Mistral-Small-3.1-24B-Instruct-2503 MRR,0.7857,0.7692,0.7778,0.8681,0.5321,0.001,0.5499,0.0002,27,14,13,2026-03-10T13:44:54.670164+00:00,0.05,0.0
SC-Setwise-Mistral-24B-Majority@k,posthoc-sc,SC setwise Mistral-Small-3.1-24B-Instruct-2503 Majority@k,0.8571,0.7692,0.8148,0.8462,0.5644,0.001,0.562,0.0001,27,14,13,2026-03-10T13:44:55.010401+00:00,0.05,0.0
