model,n_hurt,n_benefit,n_evaluated,hurt_recall,hurt_ci_lo,hurt_ci_hi,benefit_recall,benefit_ci_lo,benefit_ci_hi,accuracy,acc_ci_lo,acc_ci_hi,auc,auc_ci_lo,auc_ci_hi,gamma,spearman_rho,spearman_p
TREC nDCG@10 (upper bound),12,9,21,0.417,0.193,0.68,0.778,0.453,0.937,0.571,0.365,0.755,0.75,0.529,0.971,0.269,0.347,0.0261
Qwen-2.5-72B-Instruct (API),12,9,21,0.667,0.391,0.862,0.778,0.453,0.937,0.714,0.5,0.862,0.787,0.579,0.995,0.348,0.4,0.0095
Qwen-2.5-7B-Instruct (local),12,9,21,0.167,0.047,0.448,0.889,0.565,0.98,0.476,0.283,0.676,0.505,0.25,0.76,0.02,0.024,0.8829
