model,n_hurt,n_benefit,n_evaluated,hurt_recall,benefit_recall,accuracy,auc,gamma,gamma_p,spearman_rho,spearman_p
TREC nDCG@10 (upper bound),12,9,21,0.417,0.778,0.571,0.75,0.5,0.0272,0.48,0.0276
Qwen-2.5-72B-Instruct (pairwise),12,9,21,0.667,0.778,0.714,0.787,0.574,0.0134,0.516,0.0165
Qwen-2.5-7B-Instruct (pairwise),12,9,21,0.167,0.889,0.476,0.505,0.01,0.4816,0.237,0.3002
