method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,h_pred
Setwise-RankZephyr-7B-DCG,posthoc,setwise rank_zephyr_7b_v1_full DCG,0.1429,0.8333,0.4615,0.4821,-0.0422,0.7826,0.0136,0.9327,26,14,12,2026-03-07T13:55:00.484488+00:00,0.0176
Setwise-RankZephyr-7B-MRR,posthoc,setwise rank_zephyr_7b_v1_full MRR,0.1429,0.8333,0.4615,0.5089,-0.0166,0.9186,0.0359,0.8234,26,14,12,2026-03-07T13:55:03.281786+00:00,0.0309
Setwise-RankZephyr-7B-Majority@k,posthoc,setwise rank_zephyr_7b_v1_full Majority@k,0.0714,0.5833,0.3077,0.4673,-0.0847,0.6817,-0.0115,0.9432,26,14,12,2026-03-07T13:55:05.764008+00:00,0.125
SC-Setwise-Qwen3-8B-Think-DCG,posthoc-sc,SC setwise Qwen3-8B DCG,0.4286,0.5,0.4615,0.756,0.3297,0.03,0.3517,0.0241,26,14,12,2026-03-07T14:43:39.300767+00:00,0.0301
SC-Setwise-Qwen3-8B-Think-MRR,posthoc-sc,SC setwise Qwen3-8B MRR,0.3571,0.4167,0.3846,0.75,0.3226,0.0324,0.3309,0.0346,26,14,12,2026-03-07T14:43:43.016467+00:00,0.0615
SC-Setwise-Qwen3-8B-Think-Majority@k,posthoc-sc,SC setwise Qwen3-8B Majority@k,0.2857,0.5833,0.4231,0.744,0.342,0.0246,0.3206,0.041,26,14,12,2026-03-07T14:43:46.036627+00:00,0.0867
Setwise-Llama-8B-DCG,posthoc,setwise Llama-3.1-8B-Instruct DCG,0.3571,0.25,0.3077,0.7024,0.2437,0.0994,0.2866,0.0693,26,14,12,2026-03-07T15:05:48.836564+00:00,0.0865
Setwise-Llama-8B-MRR,posthoc,setwise Llama-3.1-8B-Instruct MRR,0.3571,0.25,0.3077,0.7143,0.2473,0.0918,0.2899,0.066,26,14,12,2026-03-07T15:05:52.173247+00:00,0.1783
Setwise-Llama-8B-Majority@k,posthoc,setwise Llama-3.1-8B-Instruct Majority@k,0.2857,0.5,0.3846,0.7232,0.3319,0.0508,0.3063,0.0514,26,14,12,2026-03-07T15:05:55.171608+00:00,0.1667
SC-Pairwise-Llama-8B-DCG,posthoc-sc,SC pairwise Llama-3.1-8B-Instruct DCG,0.1429,0.8333,0.4615,0.4821,-0.0422,0.7826,0.0136,0.9327,26,14,12,2026-03-07T15:13:05.559348+00:00,0.0176
SC-Pairwise-Llama-8B-MRR,posthoc-sc,SC pairwise Llama-3.1-8B-Instruct MRR,0.1429,0.8333,0.4615,0.5089,-0.0166,0.9186,0.0359,0.8234,26,14,12,2026-03-07T15:13:07.964298+00:00,0.0309
SC-Pairwise-Llama-8B-Majority@k,posthoc-sc,SC pairwise Llama-3.1-8B-Instruct Majority@k,0.0714,0.5833,0.3077,0.4673,-0.0847,0.6817,-0.0115,0.9432,26,14,12,2026-03-07T15:13:10.327001+00:00,0.125
SC-Setwise-Llama-8B-DCG,posthoc-sc,SC setwise Llama-3.1-8B-Instruct DCG,0.3571,0.5833,0.4615,0.7917,0.4122,0.0048,0.4177,0.0066,26,14,12,2026-03-07T15:21:57.768818+00:00,0.0629
SC-Setwise-Llama-8B-MRR,posthoc-sc,SC setwise Llama-3.1-8B-Instruct MRR,0.5,0.5,0.5,0.7976,0.4229,0.0036,0.431,0.0049,26,14,12,2026-03-07T15:22:00.335191+00:00,0.1182
SC-Setwise-Llama-8B-Majority@k,posthoc-sc,SC setwise Llama-3.1-8B-Instruct Majority@k,0.5714,0.5833,0.5769,0.8065,0.4873,0.0018,0.4669,0.0021,26,14,12,2026-03-07T15:22:02.781889+00:00,0.1667
SC-Pairwise-Mistral-7B-DCG,posthoc-sc,SC pairwise Mistral-7B-Instruct-v0.3 DCG,0.1429,0.8333,0.4615,0.4821,-0.0422,0.7826,0.0136,0.9327,26,14,12,2026-03-07T15:28:34.167307+00:00,0.0176
SC-Pairwise-Mistral-7B-MRR,posthoc-sc,SC pairwise Mistral-7B-Instruct-v0.3 MRR,0.1429,0.8333,0.4615,0.5089,-0.0166,0.9186,0.0359,0.8234,26,14,12,2026-03-07T15:28:36.524193+00:00,0.0309
SC-Pairwise-Mistral-7B-Majority@k,posthoc-sc,SC pairwise Mistral-7B-Instruct-v0.3 Majority@k,0.0714,0.5833,0.3077,0.4673,-0.0847,0.6817,-0.0115,0.9432,26,14,12,2026-03-07T15:28:38.941829+00:00,0.125
SC-Setwise-Mistral-7B-DCG,posthoc-sc,SC setwise Mistral-7B-Instruct-v0.3 DCG,0.5,0.4167,0.4615,0.881,0.5269,0.0002,0.5438,0.0002,26,14,12,2026-03-07T15:41:28.350202+00:00,0.0374
SC-Setwise-Mistral-7B-MRR,posthoc-sc,SC setwise Mistral-7B-Instruct-v0.3 MRR,0.5,0.5,0.5,0.8988,0.5448,0.0002,0.5665,0.0001,26,14,12,2026-03-07T15:41:30.723692+00:00,0.0669
SC-Setwise-Mistral-7B-Majority@k,posthoc-sc,SC setwise Mistral-7B-Instruct-v0.3 Majority@k,0.4286,0.6667,0.5385,0.8601,0.5642,0.0002,0.6017,0.0,26,14,12,2026-03-07T15:41:33.211764+00:00,0.11
SC-Setwise-Qwen3-14B-Think-DCG,posthoc-sc,SC setwise Qwen3-14B DCG,0.5,0.5833,0.5385,0.8274,0.4229,0.0046,0.4585,0.0026,26,14,12,2026-03-08T09:39:48.880500+00:00,0.0705
SC-Setwise-Qwen3-14B-Think-MRR,posthoc-sc,SC setwise Qwen3-14B MRR,0.5,0.5833,0.5385,0.8393,0.4552,0.0026,0.4867,0.0013,26,14,12,2026-03-08T09:39:51.928967+00:00,0.1324
SC-Setwise-Qwen3-14B-Think-Majority@k,posthoc-sc,SC setwise Qwen3-14B Majority@k,0.5714,0.5833,0.5769,0.8333,0.545,0.0002,0.5468,0.0002,26,14,12,2026-03-08T09:39:54.846923+00:00,0.2333
