method_name,stage,predictor,tpr_hurt,tpr_benefit,acc,auc,gamma,gamma_p,rho,rho_p,n_queries,n_hurt,n_benefit,timestamp,h_label,h_pred
Pairwise-Qwen-7B-DCG,posthoc,pairwise Qwen2.5-7B-Instruct DCG,0.1,0.7778,0.4211,0.4444,-0.0952,0.5874,0.0229,0.8872,38,20,18,2026-03-10T13:40:23.817458+00:00,0.0,0.0
Pairwise-Qwen-7B-MRR,posthoc,pairwise Qwen2.5-7B-Instruct MRR,0.1,0.7778,0.4211,0.4569,-0.0783,0.6613,0.0433,0.7882,38,20,18,2026-03-10T13:40:24.192763+00:00,0.0,0.0
Pairwise-Qwen-7B-Majority@k,posthoc,pairwise Qwen2.5-7B-Instruct Majority@k,0.15,0.5,0.3158,0.4569,-0.118,0.5984,0.0187,0.9075,38,20,18,2026-03-10T13:40:24.474315+00:00,0.0,0.0
Pairwise-Qwen-14B-DCG,posthoc,pairwise Qwen2.5-14B-Instruct DCG,0.7,0.6667,0.6842,0.7347,0.3996,0.02,0.3853,0.0129,38,20,18,2026-03-10T13:40:24.804320+00:00,0.0,0.0
Pairwise-Qwen-14B-MRR,posthoc,pairwise Qwen2.5-14B-Instruct MRR,0.7,0.6667,0.6842,0.7458,0.4165,0.015,0.4068,0.0083,38,20,18,2026-03-10T13:40:25.099821+00:00,0.0,0.0
Pairwise-Qwen-14B-Majority@k,posthoc,pairwise Qwen2.5-14B-Instruct Majority@k,0.6,0.6667,0.6316,0.7694,0.5749,0.003,0.5219,0.0005,38,20,18,2026-03-10T13:40:25.395129+00:00,0.0,0.0
Setwise-Qwen-7B-DCG,posthoc,setwise Qwen2.5-7B-Instruct DCG,0.6,0.6667,0.6316,0.7,0.3602,0.029,0.3952,0.0105,38,20,18,2026-03-10T13:40:25.710511+00:00,0.0,0.0
Setwise-Qwen-7B-MRR,posthoc,setwise Qwen2.5-7B-Instruct MRR,0.6,0.6667,0.6316,0.7,0.3615,0.03,0.4015,0.0093,38,20,18,2026-03-10T13:40:26.012563+00:00,0.0,0.0
Setwise-Qwen-7B-Majority@k,posthoc,setwise Qwen2.5-7B-Instruct Majority@k,0.4,0.5,0.4474,0.5583,0.1832,0.3497,0.2756,0.0852,38,20,18,2026-03-10T13:40:26.304428+00:00,0.0,0.0
Setwise-Qwen-14B-DCG,posthoc,setwise Qwen2.5-14B-Instruct DCG,0.75,0.6111,0.6842,0.7167,0.3924,0.027,0.377,0.0151,38,20,18,2026-03-10T13:40:26.611306+00:00,0.0,0.0
Setwise-Qwen-14B-MRR,posthoc,setwise Qwen2.5-14B-Instruct MRR,0.75,0.6111,0.6842,0.7194,0.3966,0.024,0.3973,0.0101,38,20,18,2026-03-10T13:40:26.927567+00:00,0.0,0.0
Setwise-Qwen-14B-Majority@k,posthoc,setwise Qwen2.5-14B-Instruct Majority@k,0.65,0.5,0.5789,0.7347,0.5345,0.008,0.4778,0.0016,38,20,18,2026-03-10T13:40:27.226716+00:00,0.0,0.0
Setwise-R1-7B-DCG,posthoc,setwise Qwen2.5-7B-Instruct DCG,0.65,0.5556,0.6053,0.7,0.3586,0.036,0.4145,0.0071,38,20,18,2026-03-10T13:40:27.533305+00:00,0.0,0.0
Setwise-R1-7B-MRR,posthoc,setwise Qwen2.5-7B-Instruct MRR,0.65,0.5556,0.6053,0.7014,0.3742,0.027,0.4247,0.0056,38,20,18,2026-03-10T13:40:27.854250+00:00,0.0,0.0
Setwise-R1-7B-Majority@k,posthoc,setwise Qwen2.5-7B-Instruct Majority@k,0.55,0.5556,0.5526,0.7375,0.4976,0.011,0.5092,0.0007,38,20,18,2026-03-10T13:40:28.165698+00:00,0.0,0.0
Setwise-R1-14B-DCG,posthoc,setwise Qwen2.5-14B-Instruct DCG,0.8,0.6667,0.7368,0.75,0.4515,0.007,0.4749,0.0017,38,20,18,2026-03-10T13:40:28.476821+00:00,0.0,0.0
Setwise-R1-14B-MRR,posthoc,setwise Qwen2.5-14B-Instruct MRR,0.8,0.6667,0.7368,0.7583,0.4715,0.006,0.5029,0.0008,38,20,18,2026-03-10T13:40:28.794325+00:00,0.0,0.0
Setwise-R1-14B-Majority@k,posthoc,setwise Qwen2.5-14B-Instruct Majority@k,0.7,0.5556,0.6316,0.7653,0.5561,0.003,0.5113,0.0006,38,20,18,2026-03-10T13:40:29.115550+00:00,0.0,0.0
Setwise-SFT-7B-DCG,posthoc,setwise Qwen2.5-7B-Instruct DCG,0.85,0.6111,0.7368,0.7417,0.4262,0.012,0.4724,0.0018,38,20,18,2026-03-10T13:40:29.432415+00:00,0.0,0.0
Setwise-SFT-7B-MRR,posthoc,setwise Qwen2.5-7B-Instruct MRR,0.9,0.6111,0.7632,0.7417,0.4388,0.011,0.4829,0.0014,38,20,18,2026-03-10T13:40:29.738512+00:00,0.0,0.0
Setwise-SFT-7B-Majority@k,posthoc,setwise Qwen2.5-7B-Instruct Majority@k,0.65,0.3889,0.5263,0.6764,0.5537,0.004,0.5213,0.0007,38,20,18,2026-03-10T13:40:30.026381+00:00,0.0,0.0
Setwise-SFT-14B-DCG,posthoc,setwise Qwen2.5-14B-Instruct DCG,0.9,0.5556,0.7368,0.7042,0.3488,0.034,0.3722,0.0166,38,20,18,2026-03-10T13:40:30.345493+00:00,0.0,0.0
Setwise-SFT-14B-MRR,posthoc,setwise Qwen2.5-14B-Instruct MRR,0.9,0.5556,0.7368,0.7153,0.3742,0.022,0.3922,0.0112,38,20,18,2026-03-10T13:40:30.649168+00:00,0.0,0.0
Setwise-SFT-14B-Majority@k,posthoc,setwise Qwen2.5-14B-Instruct Majority@k,0.65,0.4444,0.5526,0.7097,0.5116,0.01,0.5025,0.001,38,20,18,2026-03-10T13:40:30.969645+00:00,0.0,0.0
SC-Pairwise-Qwen-7B-DCG,posthoc-sc,SC pairwise Qwen2.5-7B-Instruct DCG,0.15,0.7222,0.4211,0.4333,-0.1064,0.5415,-0.0194,0.904,38,20,18,2026-03-10T13:40:31.268026+00:00,0.0,0.0
SC-Pairwise-Qwen-7B-MRR,posthoc-sc,SC pairwise Qwen2.5-7B-Instruct MRR,0.15,0.7222,0.4211,0.45,-0.0809,0.6563,0.02,0.901,38,20,18,2026-03-10T13:40:31.584992+00:00,0.0,0.0
